"fide_id","name","country","sex","title"
4800575,"Salih, Akar Ali Salih",IRQ,M,FM
4800605,"Al-Sahlanee, Hayder A. Jaafar",IRQ,M,FM
4800613,"Abdul Hadi, Maftool Mhere",IRQ,M,CM
4800680,"Obada, Ahmad AzeezJawad",IRQ,M,IM
4800745,"Al-Qazzaz, Rabeea Qasim Mohammed",IRQ,M,CM
4800800,"Ismael, Namir Mohammed Ismael",IRQ,M,CM
4800990,"Jabbar, Ryidh",IRQ,M,CM
4801040,"Al-Saffar, Araz Basim Mohammed S",IRQ,M,IM
4801059,"Laith, Kasib",IRQ,M,FM
4801067,"Al-Rufaye, Iman Hasan Mohammed",IRQ,F,WIM
4801075,"Al-Rufei, Ahmed H.",IRQ,M,CM
4801105,"El-aboody, Sanaa",IRQ,F,WFM
4801113,"Al-Omari, Dalya",IRQ,F,WCM
4801628,"Abaeji, Sinan Younus Abdulrazzaq",IRQ,M,CM
4801660,"Muhammad Ali, A.",IRQ,M,CM
4801695,Muhseen Abdullah Mohammed,IRQ,M,CM
4801776,"ALBARBARI,KAREEN KAMAL JALALADIN",IRQ,F,WFM
4801792,Mohammed Ali MahdiAl-Kinani,IRQ,M,CM
4801806,"Ehab, Mazin Elias",IRQ,M,CM
4801849,"Abdulwahhab, Ahmed Abdulsattar A",IRQ,M,FM
4801890,"Nameer, Noor. Al-Deen",IRQ,M,CM
4801920,"Alothman ,Ali Layth Ahmed",IRQ,M,FM
4802136,"Hamandi, Mohammed Nawfel Karim",IRQ,M,CM
4802144,"Mohammed Qane,Jannar Worya",IRQ,F,WFM
4802152,"Qanee, Khatozen Werya",IRQ,F,WCM
4802284,"Jwad, Waleed Aziz",IRQ,M,FM
4803000,"Mohammed Ameen, Jwan Jamal M.A.",IRQ,F,WCM
4803116,DLPAK ISMAEL IBRAHIM,IRQ,F,WIM
4803132,"Al-Rajab, Maha Layth Ismael",IRQ,F,WCM
4803159,"Muhsen, Dhuha M",IRQ,F,WFM
4803264,"Ghazala, Zena Basil",IRQ,F,WFM
4803361,Zozek Salah Mohammed,IRQ,M,FM
4804015,"Suhaila, M. Mohsin,",IRQ,F,WCM
4804929,"AL-ALI, Sally Abbas Abdulzahra",IRQ,F,WFM
4804937,Abbas Hussein kzar,IRQ,M,CM
4806042,"Al-Khalidi, Aisha Ali Ahmed",IRQ,F,WCM
4806204,"Ahmed, Qutayba Yunis",IRQ,M,CM
4806212,"Rabeea, Sabah Nori",IRQ,M,FM
4806255,"Nabaa, Sami Abbas Al-Attraqchi",IRQ,F,WCM
4806620,"Noori, Sabah Nori",IRQ,M,IM
4806700,"Al-Fayyadh, Yamama Asif Abdula",IRQ,F,WCM
4807359,"Didar , Mohammed Zhaher Hassan",IRQ,M,CM
4807421,"Moazaz , Dhahir Habeeb",IRQ,M,FM
4807537,"Ameer,Dhafer Abdulameer",IRQ,M,CM
4808428,"Yar, Byad Abdulqader",IRQ,F,WCM
4808436,"ALbarbari ,Vin Kamal Jalal Adin",IRQ,F,WCM
4808509,"Ahmed, Jaza Jamal",IRQ,M,IM
4811623,Zaid Alaa Chaseb,IRQ,M,CM
4813235,"Aryan, Ali Ehsan",IRQ,M,CM
4817729,BAQER HAMEED KHALAF AL-MUSAWI,IRQ,M,CM
4900014,"Lkhagvasuren, Tsedendemberel",MGL,M,IM
4900049,"Jigjidsuren, Purev",MGL,M,IM
4900057,"Lkhagva, Jambaldoo",MGL,M,FM
4900073,"Hurelbaatar, Chultemjamts",MGL,M,FM
4900081,"Myagmarsuren, Lkhamsuren",MGL,M,IM
4900146,Soyolmaa Dashdondog,MGL,F,WCM
4900189,"Bayarmaa, Gendenjamc",MGL,F,WIM
4900227,"Uuriintuya, Uurtsaikh",MGL,F,WGM
4900251,"Enkhbat, Tegshsuren",USA,M,IM
4900260,"Bayarmaa, Bayarjargal",MGL,F,WIM
4900278,"Altan-Och, Genden",MGL,M,FM
4900286,"Ganbold, Odondoo",MGL,M,IM
4900316,"Tungalag, Nyamaa",MGL,F,WFM
4900324,"Enkhnar, Enkhbaatar",MGL,M,FM
4900332,"Khatanbaatar, Bazar",MGL,M,GM
4900340,"Sharavdorj, Dashzegve",MGL,M,GM
4900375,"Ganbaatar, Ishdagva",MGL,M,FM
4900391,Battsengel Shirchin,MGL,F,WFM
